Category,Product Name,Material Composition,Product Name with Keywords,Fragility,Predicted Packaging Material,Protective Packaging Tip,Image Paths
Electronics,"Laptop: Aluminum, plastic, glass","['Metal', 'Plastic', 'Glass']","Laptop: Aluminum, plastic, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Smartphone: Glass, aluminum, plastic","['Metal', 'Plastic', 'Glass']","Smartphone: Glass, aluminum, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Tablet: Glass, aluminum, plastic","['Metal', 'Plastic', 'Glass']","Tablet: Glass, aluminum, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Headphones: Plastic, metal, leather","['Metal', 'Plastic', 'Leather']","Headphones: Plastic, metal, leather metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber leather",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Camera: Metal, plastic, glass","['Metal', 'Plastic', 'Glass']","Camera: Metal, plastic, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Smartwatch: Metal, glass, plastic","['Metal', 'Plastic', 'Glass']","Smartwatch: Metal, glass, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Printer: Plastic, metal","['Metal', 'Plastic']","Printer: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Keyboard: Plastic, metal","['Metal', 'Plastic']","Keyboard: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Mouse: Plastic, metal","['Metal', 'Plastic']","Mouse: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Monitor: Plastic, glass, metal","['Metal', 'Plastic', 'Glass']","Monitor: Plastic, glass, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Speaker system: Plastic, metal, fabric","['Metal', 'Plastic', 'Fabric']","Speaker system: Plastic, metal, fabric metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber fabric cotton polyester rayon denim silk chiffon wool acrylic cashmere linen spandex fleece down modal",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"External hard drive: Plastic, metal","['Metal', 'Plastic']","External hard drive: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Graphics tablet: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","Graphics tablet: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Wireless charger: Plastic, metal","['Metal', 'Plastic']","Wireless charger: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Action camera: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","Action camera: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Drone: Plastic, metal, carbon fiber","['Metal', 'Plastic']","Drone: Plastic, metal, carbon fiber metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Gaming console: Plastic, metal","['Metal', 'Plastic']","Gaming console: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Virtual reality headset: Plastic, fabric, metal","['Metal', 'Plastic', 'Fabric']","Virtual reality headset: Plastic, fabric, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber fabric cotton polyester rayon denim silk chiffon wool acrylic cashmere linen spandex fleece down modal",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Fitness tracker: Plastic, metal","['Metal', 'Plastic']","Fitness tracker: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Digital camera: Metal, plastic, glass","['Metal', 'Plastic', 'Glass', 'Digital']","Digital camera: Metal, plastic, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent digital",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"E-reader: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","E-reader: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Portable power bank: Plastic, metal","['Metal', 'Plastic']","Portable power bank: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"USB flash drive: Plastic, metal","['Metal', 'Plastic']","USB flash drive: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Bluetooth earbuds: Plastic, metal","['Metal', 'Plastic']","Bluetooth earbuds: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Microphone: Metal, plastic","['Metal', 'Plastic']","Microphone: Metal, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Projector: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","Projector: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Webcam: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","Webcam: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Solar charger: Plastic, metal","['Metal', 'Plastic']","Solar charger: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"GPS device: Plastic, metal","['Metal', 'Plastic']","GPS device: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"LED flashlight: Metal, plastic","['Metal', 'Plastic']","LED flashlight: Metal, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"CCTV camera: Metal, plastic, glass","['Metal', 'Plastic', 'Glass']","CCTV camera: Metal, plastic, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Barcode scanner: Plastic, metal","['Metal', 'Plastic']","Barcode scanner: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Satellite phone: Plastic, metal","['Metal', 'Plastic']","Satellite phone: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Wireless presenter: Plastic, metal","['Metal', 'Plastic']","Wireless presenter: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Voice recorder: Plastic, metal","['Metal', 'Plastic']","Voice recorder: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Calculator: Plastic, metal","['Metal', 'Plastic']","Calculator: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Electric toothbrush: Plastic, metal","['Metal', 'Plastic']","Electric toothbrush: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Hair straightener: Plastic, metal","['Metal', 'Plastic']","Hair straightener: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Air purifier: Plastic, metal","['Metal', 'Plastic']","Air purifier: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Humidifier: Plastic, metal","['Metal', 'Plastic']","Humidifier: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Robot vacuum cleaner: Plastic, metal","['Metal', 'Plastic']","Robot vacuum cleaner: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Bluetooth speaker: Plastic, metal","['Metal', 'Plastic']","Bluetooth speaker: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Digital voice assistant: Plastic, metal","['Metal', 'Plastic', 'Digital']","Digital voice assistant: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber digital",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Car dash cam: Plastic, metal, glass","['Metal', 'Plastic', 'Glass']","Car dash cam: Plastic, metal, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Electric shaver: Plastic, metal","['Metal', 'Plastic']","Electric shaver: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Portable DVD player: Plastic, metal","['Metal', 'Plastic']","Portable DVD player: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Digital photo frame: Plastic, metal","['Metal', 'Plastic', 'Digital']","Digital photo frame: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber digital",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Handheld game console: Plastic, metal","['Metal', 'Plastic']","Handheld game console: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Portable CD player: Plastic, metal","['Metal', 'Plastic']","Portable CD player: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Graphing calculator: Plastic, metal","['Metal', 'Plastic']","Graphing calculator: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
