Category,Product Name,Weight (kg),Fragility,Weight Category,Predicted Packaging Material,Protective Packaging Tip,Image Paths
Electronics,Laptop,19.04491206,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Smartphone,25.09604831,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Tablet,2.007965874,Moderately Fragile,Not Fragile,Composite foam panels,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Headphones,40.52726093,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Camera,45.51777384,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Smartwatch,48.49907526,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Printer,20.53483435,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Keyboard,16.59617857,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Mouse,3.371620659,Moderately Fragile,Not Fragile,Paper cushioning,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Monitor,23.43656124,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
